...1,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,view_history,trial,character_choice,stimulus_dict,accuracy,correct_response,ball_pos,ego_ball_visible,ego_can_infer,alter_ball_visible,alter_can_infer,collective_ball_visible,collective_can_infer,search_locations,alter_occluders,ego_occluders,accuracy_bool,feedback,age,ethnicity,gender,race,overall_accuracy,bonus,workerid
1,NA,NA,NA,NA,NA,survey-html-form,318,599024,0.0-293.0,13425,NA,"{""feedback"":"""",""age"":""56"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,Non-Hispanic,Female,White,0.6944444444444444,0.6944444444444444,09ce7m84v7
2,NA,NA,NA,NA,NA,survey-html-form,318,472608,0.0-293.0,70055,NA,"{""feedback"":""When it was not visible to them I tried to just select the correct answer or use intuition to try to guess which one they would pick if it was not clear to me.\n\nNo specific comments but it was enjoyable."",""age"":""36"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"When it was not visible to them I tried to just select the correct answer or use intuition to try to guess which one they would pick if it was not clear to me.

No specific comments but it was enjoyable.",36,Non-Hispanic,Female,White,0.7013888888888888,0.7013888888888888,0p54mu6bod
3,NA,NA,NA,NA,NA,survey-html-form,318,468221,0.0-293.0,15410,NA,"{""feedback"":""whether he could see it and whether or not i could see it"",""age"":""37"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,whether he could see it and whether or not i could see it,37,Non-Hispanic,Female,White,0.6666666666666666,0.6666666666666666,0w3ydtnvee
4,NA,NA,NA,NA,NA,survey-html-form,318,481868,0.0-293.0,18632,NA,"{""feedback"":""None. Trusted my gut"",""age"":""28"",""gender"":""Male"",""other_gender"":"""",""race"":""Asian"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None. Trusted my gut,28,Non-Hispanic,Male,Asian,0.6527777777777778,0.6527777777777778,17dk1wv29n
5,NA,NA,NA,NA,NA,survey-html-form,318,690007,0.0-293.0,41156,NA,"{""feedback"":""guess estimate"",""age"":""55"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":""""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,guess estimate,55,NA,Female,White,0.6666666666666666,0.6666666666666666,1a5ocduvmr
6,NA,NA,NA,NA,NA,survey-html-form,318,541913,0.0-293.0,95710,NA,"{""feedback"":""I mostly choose where the red ball would probably be vs where he would pick where the ball would be. I have no comments or questions."",""age"":""26"",""gender"":""Male"",""other_gender"":"""",""race"":""Asian"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I mostly choose where the red ball would probably be vs where he would pick where the ball would be. I have no comments or questions.,26,Non-Hispanic,Male,Asian,0.6111111111111112,0.6111111111111112,1bs8ozqk4z
7,NA,NA,NA,NA,NA,survey-html-form,318,949484,0.0-293.0,40863,NA,"{""feedback"":""I have none."",""age"":""45"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I have none.,45,Non-Hispanic,Male,White,0.6458333333333334,0.6458333333333334,1gabon1ypa
8,NA,NA,NA,NA,NA,survey-html-form,318,591736,0.0-293.0,15742,NA,"{""feedback"":"""",""age"":""59"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,Non-Hispanic,Female,White,0.6736111111111112,0.6736111111111112,1go3ulc8ke
9,NA,NA,NA,NA,NA,survey-html-form,318,481663,0.0-293.0,39787,NA,"{""feedback"":""Tried to see if it was obvious and if not, went with my gut."",""age"":""39"",""gender"":""Female"",""other_gender"":"""",""race"":""Multiracial"",""other_race"":"""",""ethnicity"":""Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tried to see if it was obvious and if not, went with my gut.",39,Hispanic,Female,Multiracial,0.6458333333333334,0.6458333333333334,1gw8q7scsh
10,NA,NA,NA,NA,NA,survey-html-form,318,448707,0.0-293.0,32246,NA,"{""feedback"":""I tried to pay attention to what Sam could see to determine where he would guess."",""age"":""40"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I tried to pay attention to what Sam could see to determine where he would guess.,40,Non-Hispanic,Male,White,0.6388888888888888,0.6388888888888888,1lbg5j919v
11,NA,NA,NA,NA,NA,survey-html-form,318,634585,0.0-293.0,45670,NA,"{""feedback"":""I tried to stick to one basket when I was making a random guess. "",""age"":""40"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I tried to stick to one basket when I was making a random guess.,40,Non-Hispanic,Male,White,0.6041666666666666,0.6041666666666666,1n95x7os0r
12,NA,NA,NA,NA,NA,survey-html-form,318,558905,0.0-293.0,45549,NA,"{""feedback"":""Some were random (if I knew he couldn't see), some were based on knowing he could see the ball "",""age"":""28"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Some were random (if I knew he couldn't see), some were based on knowing he could see the ball",28,Non-Hispanic,Female,White,0.5833333333333334,0.5833333333333334,1osyxxnlsp
13,NA,NA,NA,NA,NA,survey-html-form,318,521699,0.0-293.0,11206,NA,"{""feedback"":"""",""age"":""43"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":""""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,Female,White,0.6388888888888888,0.6388888888888888,285ekswh75
14,NA,NA,NA,NA,NA,survey-html-form,318,538422,0.0-293.0,15614,NA,"{""feedback"":"""",""age"":""43"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,Non-Hispanic,Female,White,0.4166666666666667,0.4166666666666667,29cfm6mrc5
15,NA,NA,NA,NA,NA,survey-html-form,318,893364,0.0-293.0,35086,NA,"{""feedback"":""I selected the option that I personally would have chosen in Sam's position.\n"",""age"":""29"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I selected the option that I personally would have chosen in Sam's position.
",29,Hispanic,Male,White,0.5833333333333334,0.5833333333333334,2b8ak3w2gy
16,NA,NA,NA,NA,NA,survey-html-form,318,598984,0.0-293.0,51126,NA,"{""feedback"":""I chose randomly when the red ball was not visible. I have no questions."",""age"":""42"",""gender"":""Female"",""other_gender"":"""",""race"":""Black/African American"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I chose randomly when the red ball was not visible. I have no questions.,42,Non-Hispanic,Female,Black/African American,0.6388888888888888,0.6388888888888888,2f9ckn0uql
17,NA,NA,NA,NA,NA,survey-html-form,318,671831,0.0-293.0,32092,NA,"{""feedback"":"""",""age"":""50"",""gender"":""Male"",""other_gender"":"""",""race"":""Black/African American"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,Non-Hispanic,Male,Black/African American,0.2986111111111111,0.2986111111111111,2o7tsj74g6
18,NA,NA,NA,NA,NA,survey-html-form,318,290549,0.0-293.0,7914,NA,"{""feedback"":"""",""age"":""38"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,Non-Hispanic,Male,White,0.5972222222222222,0.5972222222222222,30dkfglhpn
19,NA,NA,NA,NA,NA,survey-html-form,318,592422,0.0-293.0,57539,NA,"{""feedback"":""I went with my gut instinct. Great experiment"",""age"":""58"",""gender"":""Female"",""other_gender"":"""",""race"":""Black/African American"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I went with my gut instinct. Great experiment,58,Non-Hispanic,Female,Black/African American,0.5625,0.5625,33h7zfrkrg
20,NA,NA,NA,NA,NA,survey-html-form,318,512818,0.0-293.0,81679,NA,"{""feedback"":""For some, it was easy as there was an obvious choice. For others, it could be narrowed down to two choices, and I just picked one. On others, it could have been any of the three, and that was just a pure guess."",""age"":""69"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"For some, it was easy as there was an obvious choice. For others, it could be narrowed down to two choices, and I just picked one. On others, it could have been any of the three, and that was just a pure guess.",69,Non-Hispanic,Male,White,0.6319444444444444,0.6319444444444444,35ezh4tapo
21,NA,NA,NA,NA,NA,survey-html-form,318,1410243,0.0-293.0,10247,NA,"{""feedback"":"""",""age"":""31"",""gender"":""Male"",""other_gender"":"""",""race"":""Black/African American"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,Non-Hispanic,Male,Black/African American,0.6319444444444444,0.6319444444444444,3ap3f2j28t
22,NA,NA,NA,NA,NA,survey-html-form,318,909997,0.0-293.0,50348,NA,"{""feedback"":""Things didn't line up correctly. I would pick the one with the ball, and then it would tell me that it was the wrong one when the. ball was clearly there and square was clearly around the ball. It would still say it was the wrong one on quite a few."",""age"":""54"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Things didn't line up correctly. I would pick the one with the ball, and then it would tell me that it was the wrong one when the. ball was clearly there and square was clearly around the ball. It would still say it was the wrong one on quite a few.",54,Non-Hispanic,Female,White,0.4791666666666667,0.4791666666666667,3c3ngp04sn
23,NA,NA,NA,NA,NA,survey-html-form,318,324558,0.0-293.0,29874,NA,"{""feedback"":""I based it off what i could see and what he couldnt"",""age"":""31"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I based it off what i could see and what he couldnt,31,Non-Hispanic,Male,White,0.5972222222222222,0.5972222222222222,3ntlvew2de
24,NA,NA,NA,NA,NA,survey-html-form,318,304467,0.0-293.0,16080,NA,"{""feedback"":""N/A"",""age"":""35"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,35,Non-Hispanic,Female,White,0.5972222222222222,0.5972222222222222,3xo0a304up
25,NA,NA,NA,NA,NA,survey-html-form,318,443341,0.0-293.0,30309,NA,"{""feedback"":""Sams view of the balls and whether he was guessing or not"",""age"":""37"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sams view of the balls and whether he was guessing or not,37,Non-Hispanic,Male,White,0.6458333333333334,0.6458333333333334,3xuy6a30dc
